Name,Link,Description,Included carbon life cycle stage,Hardware system,Computer system stack ,Target Problem,Paper Link
Codecarbon,https://github.com/mlco2/codecarbon,Track emissions from Compute and recommend ways to reduce their impact on the environment.,Operation,"Datacenter, Mobile, Edge","Microarchitecture, Circuit",Modeling,
Carbontracker,https://github.com/lfwa/carbontracker,Track and predict the energy consumption and carbon footprint of training deep learning models.,Operation,"Datacenter, Mobile, Edge","Application, OS",Modeling,
TinyML,https://github.com/harvard-edge/TinyML-Footprint,A tool to calculate embodied and operation carbon of TinyML in different hardware configuration.,"Operation, Manufaturing",Tiny,"Microarchitecture, Circuit","Modeling, Optimization",https://Arxiv.org/pdf/2301.11899.pdf
Greenchip,https://github.com/Pitt-JonesLab/Greenchip,A tool designed to compare energy and emission costs between computer chips,"Operation, Manufaturing","Datacenter, Mobile, Edge, Tiny","Microarchitecture, Circuit","Modeling, Optimization",http://www.sciencedirect.com/science/article/pii/S2210537917300823
3D-Carbon,https://anonymous.4open.science/r/3D-Carbon-9D5B,A analytical tool to calculate embodied and operation carbon of 3D/2.5D ICs.,"Operation, Manufaturing","Datacenter, Mobile, Edge, Tiny","Microarchitecture, Circuit, Device&tech","Modeling, Optimization",https://arxiv.org/abs/2307.08060
ACT,https://github.com/facebookresearch/ACT,"An analytical, architectural carbon model to estimate operational and embodied carbon.","Operation, Manufaturing","Datacenter, Mobile, Edge, Tiny","Microarchitecture, Circuit, Device&tech","Modeling, Optimization",https://ieeexplore.ieee.org/document/10122998
Eco2AI,https://github.com/sb-ai-lab/Eco2AI,A python library which accumulates statistics about power consumption and CO2 emission during running code.,Operation,"Datacenter, Mobile, Edge","Application, OS",Modeling,https://arxiv.org/abs/2208.00406
EIT,https://github.com/Breakend/experiment-impact-tracker,"A simple drop-in method to track energy usage, carbon emissions, and compute utilization of your system. ",Operation,"Datacenter, Mobile, Edge","Application, OS",Modeling,https://arxiv.org/abs/2002.05651
GreenAlgorithms,https://github.com/GreenAlgorithms/green-algorithms-tool,A tool to estimate and report the carbon footprint of their computation. ,Operation,"Datacenter, Edge",Application,Modeling,https://onlinelibrary.wiley.com/doi/10.1002/advs.202100707
Cumulator,https://github.com/epfl-iglobalhealth/cumulator,A tool to quantify and report the carbon footprint of machine learning computations and communication,Operation,"Datacenter, Edge",Application,Modeling,https://infoscience.epfl.ch/record/278189?ln=en
